city_name,county_name,population_5_acs,city_fips,county_fips,st_cty_geoid,city_geoid,place_moe
Albion town,Whitman County,448,1010,75,53075,5301010,192
Bridgeport city,Douglas County,2307,7870,17,53017,5307870,423
Camano CDP,Island County,17535,9365,29,53029,5309365,959
Clinton CDP,Island County,1367,13155,29,53029,5313155,408
Colfax city,Whitman County,2785,13785,75,53075,5313785,19
Colton town,Whitman County,291,13890,75,53075,5313890,77
Coulee Dam town,Douglas County,1457,15115,17,53017,5315115,222
Coupeville town,Island County,1934,15185,29,53029,5315185,343
East Wenatchee city,Douglas County,14114,20155,17,53017,5320155,39
Endicott town,Whitman County,415,21730,75,53075,5321730,134
Farmington town,Whitman County,136,23340,75,53075,5323340,50
Freeland CDP,Island County,1966,25510,29,53029,5325510,353
Garfield town,Whitman County,586,26140,75,53075,5326140,146
LaCrosse town,Whitman County,362,36850,75,53075,5336850,151
Lamont town,Whitman County,150,38215,75,53075,5338215,61
Langley city,Island County,1090,38355,29,53029,5338355,182
Malden town,Whitman County,102,42275,75,53075,5342275,49
Mansfield town,Douglas County,344,42800,17,53017,5342800,111
Oakesdale town,Whitman County,414,50325,75,53075,5350325,113
Oak Harbor city,Island County,24396,50360,29,53029,5350360,36
Palouse city,Whitman County,1131,52950,75,53075,5352950,237
Pullman city,Whitman County,31939,56625,75,53075,5356625,38
Rock Island city,Douglas County,1142,59180,17,53017,5359180,332
Rosalia town,Whitman County,628,59775,75,53075,5359775,139
St. John town,Whitman County,685,60860,75,53075,5360860,136
Steptoe CDP,Whitman County,152,67805,75,53075,5367805,55
Tekoa city,Whitman County,714,70560,75,53075,5370560,154
Uniontown town,Whitman County,355,73360,75,53075,5373360,101
Waterville town,Douglas County,1353,76510,17,53017,5376510,323
Whidbey Island Station CDP,Island County,2284,78155,29,53029,5378155,98